Source Sentence,Target Sentence
"(ii) by means of other road vehicles, other combinations of vehicles or other containers under the conditions set forth in Chapter III (c);",
"(b) the transport operations must be guaranteed by associations approved in accordance with the provisions of Article 6 and must be performed under cover of a TIR carnet, which shall conform to the model reproduced in Annex 1 to this Convention.",b ) les transports doivent avoir lieu sous la garantie d'associations agréés conformément aux dispositions de l'article 6 et doivent être effectués sous le couvert d'un carnet TIR conforme au modèle reproduit à l'annexe 1 de la présente convention .
(c) Principles,c ) Principes
Article 4,Article 4
Goods carried under the TIR procedure shall not be subjected to the payment or deposit of import or export duties and taxes at customs offices en route.,Les marchandises transportées sous le régime TIR ne seront pas assujetties au paiement ou à la consignation des droits et taxes à l'importation ou à l'exportation aux bureaux de douane de passage .
Article 5,Article 5
"1. Goods carried under the TIR procedure in sealed road vehicles, combinations of vehicles or containers shall not as a general rule be subjected to examination at customs offices en route.","1 . Les marchandises transportées sous le régime TIR dans des véhicules routiers , des ensembles de véhicules ou des conteneurs scellés ne seront pas , en règle générale , soumis à la visite par la douane aux bureaux de passage ."
"2. However, to prevent abuses, customs authorities may in exceptional cases, and particularly when irregularity is suspected, carry out an examination of the goods at such offices.",
CHAPTER II ISSUE OF TIR CARNETS Liability of guaranteeing associations,
Article 6,Article 6
"1. Subject to such conditions and guarantees as it shall determine, each Contracting Party may authorize associations to issue TIR carnets, either directly or through corresponding associations, and to act as guarantors.","1 . Sous les conditions et garanties qu'elle déterminera , chaque partie contractante pourra habiliter des associations à délivrer les carnets TIR , soit directement , soit par l'intermédiaire d'associations correspondantes , et à se porter caution ."
2. An association shall not be approved in any country unless its guarantee also covers the liabilities incurred in that country in connection with operations under cover of TIR carnets issued by foreign associations affiliated to the same international organization as that to which it is itself affiliated.,2 . Une association ne pourra être agréé dans un pays que si sa garantie s'étend également aux responsabilités encourues dans ce pays à l'occasion d'opérations sous le couvert de carnets TIR délivrés par des associations étrangères affiliées à l'organisation internationale à laquelle elle est elle-même affiliée .
Article 7,Article 7
TIR carnet forms sent to the guaranteeing associations by the corresponding foreign associations or by international organizations shall not be liable to import and export duties and taxes and shall be free of import and export prohibitions and restrictions.,Seront admis au bénéficie de la franchise des droits et taxes à l'importation ou à l'exportation et ne seront soumis à aucune prohibition ou restriction d'importation et d'exportation les formules de carnets TIR expédiés aux associations garantes par les associations étrangères correspondantes ou par des organisations internationales .
Article 8,Article 8
"1. The guaranteeing association shall undertake to pay the import or export duties and taxes, together with any default interest, due under the customs laws and regulations of the country in which an irregularity has been noted in connection with a TIR operation. It shall be liable, jointly and severally with the persons from whom the sums mentioned above are due, for payment of such sums.","1 . L'association garante s'engagera à acquitter les droits et taxes à l'importation ou à l'exportation exigibles , majorés , s'il y a lieu , des intérêts de retard qui auraient dû être acquittés en vertu des lois et règlements douaniers du pays dans lequel une irrégularité relative à l'opération TIR aura été relevée . Elle sera tenue , conjointement et solidairement avec les personnes redevables des sommes visées ci-dessus , au paiement de ces sommes ."
"2. In cases where the laws and regulations of a Contracting Party do not provide for payment of import or export duties and taxes as provided for in paragraph 1 above, the guaranteeing association shall undertake to pay, under the same conditions, a sum equal to the amount of the import or export duties and taxes and any default interest.","2 . Lorsque les lois et règlements d'une partie contractante ne prévoient pas le paiement des droits et taxes à l'importation ou à l'exportation dans les cas prévus au paragraphe 1 ci-dessus , l'association garante s'engagera à acquitter , dans les mêmes conditions , une somme égale au montant des droits et taxes à l'importation ou à l'exportation , majorés , s'il y a lieu , des intérêts de retard ."
"3. Each Contracting Party shall determine the maximum sum per TIR carnet, which may be claimed from the guaranteeing association on the basis of the provisions of paragraphs 1 and 2 above.","3 . Chaque partie contractante déterminera le montant maximal , par carnet TIR , des sommes qui peuvent être exigées de l'association garante au titre des dispositions des paragraphes 1 et 2 ci-dessus ."
"4. The liability of the guaranteeing association to the authorities of the country where the customs office of departure is situated shall commence at the time when the TIR carnet is accepted by the customs office. In the succeeding countries through which goods are transported under the TIR procedure, this liability shall commence at the time when the goods are imported or, where the TIR operation has been suspended under Article 26 (1) and (2), at the time when the TIR carnet is accepted by the customs office where the TIR operation is resumed.","4 . L'association garante deviendra responsable à l'égard des autorités du pays où est situé le bureau de douane de départ à partir du moment où le carnet TIR aura été pris en charge par le bureau de douane . Dans les pays suivants traversés au cours d'une opération de transport de marchandises sous le régime TIR , cette responsabilité commencera lorsque les marchandises seront importées ou , en cas de suspension de l'opération TIR conformément aux dispositions de l'article 26 paragraphes 1 et 2 lorsque le carnet TIR sera pris en charge par le bureau de douane où l'opération TIR est reprise ."
"5. The liability of the guaranteeing association shall cover not only the goods which are enumerated in the TIR carnet but also any goods which, though not enumerated therein, may be contained in the sealed section of the road vehicle or in the sealed container. It shall not extend to any other goods.","5 . La responsabilité de l'association garante s'étendra non seulement aux marchandises énumérés sur le carnet TIR , mais aussi aux marchandises qui , tout en n'étant pas énumérées sur ce carnet , se trouveraient dans la partie scellée du véhicule routier ou dans le conteneur scellé ; elle ne s'étendra à aucune autre marchandise ."
"6. For the purpose of determining the duties and taxes mentioned in paragraphs 1 and 2 of this Article, the particulars of the goods as entered in the TIR carnet shall, in the absence of evidence to the contrary, be assumed to be correct.","6 . Pour déterminer les droits et taxes visés au présent article paragraphes 1 et 2 , les indications relatives aux marchandises figurant au carnet TIR vaudront jusqu'à preuve du contraire ."
"7. When payment of sums mentioned in paragraphs 1 and 2 of this Article becomes due, the competent authorities shall so far as possible require payment from the person or persons directly liable before making a claim against the guaranteeing association.","7 . Lorsque les sommes visées au présent article paragraphes 1 et 2 deviennent exigibles , les autorités compétentes doivent , dans la mesure du possible , en requérir le paiement de la ( ou des ) personne(s ) directement redevables de ces sommes avant d'introduire une réclamation près l'association garante ."
Article 9,Article 9
1. The guaranteeing association shall fix the period of validity of the TIR carnet by specifying a final date of validity after which the carnet may not be presented for acceptance at the customs office of departure.,1 . L'association garante fixe la période de validité du carnet TIR en spécifiant un dernier jour de validité au-delà duquel le carnet ne peut être présenté au bureau de douane de départ pour la prise en charge .
"2. Provided that it has been accepted by the customs office of departure on or before the final date of validity as provided for in paragraph 1 of this Article, the carnet shall remain valid until the termination of the TIR operation at the customs office of destination.","2 . Pourvu qu'il ait été pris en charge au bureau de douane de départ , le dernier jour de validité , ou avant cette date , comme il est prévu au paragraphe 1 ci-dessus , les carnet demeurera valable jusqu'à l'achèvement de l'opération TIR au bureau de douane de destination ."
